2020-Oct-10 11:50:11.629  INFO restartedMain c.f.FelkinAtdenApplication:55 - Starting FelkinAtdenApplication on DESKTOP-9CBD24B with PID 1500 (C:\Users\Piuta\Documents\Prosonal_project\Back_End\felkin_atden\build\classes\java\main started by Piuta in C:\Users\Piuta\Documents\Prosonal_project\Back_End\felkin_atden)
2020-Oct-10 11:50:11.633  INFO restartedMain c.f.FelkinAtdenApplication:651 - No active profile set, falling back to default profiles: default
2020-Oct-10 11:50:11.677  INFO restartedMain o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor:225 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-Oct-10 11:50:11.678  INFO restartedMain o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor:225 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-Oct-10 11:50:12.659  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-Oct-10 11:50:12.661  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:127 - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2020-Oct-10 11:50:12.680  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:187 - Finished Spring Data repository scanning in 14ms. Found 0 JDBC repository interfaces.
2020-Oct-10 11:50:12.689  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-Oct-10 11:50:12.689  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:127 - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2020-Oct-10 11:50:12.697  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:187 - Finished Spring Data repository scanning in 4ms. Found 0 JPA repository interfaces.
2020-Oct-10 11:50:13.251  INFO restartedMain o.s.b.w.e.t.TomcatWebServer:108 - Tomcat initialized with port(s): 8080 (http)
2020-Oct-10 11:50:13.260  INFO restartedMain o.a.c.c.StandardService:173 - Starting service [Tomcat]
2020-Oct-10 11:50:13.260  INFO restartedMain o.a.c.c.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-Oct-10 11:50:13.398  INFO restartedMain o.a.c.c.C.[.[.[/]:173 - Initializing Spring embedded WebApplicationContext
2020-Oct-10 11:50:13.399  INFO restartedMain o.s.b.w.s.c.ServletWebServerApplicationContext:285 - Root WebApplicationContext: initialization completed in 1721 ms
2020-Oct-10 11:50:13.638  INFO restartedMain o.s.s.c.ThreadPoolTaskExecutor:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-Oct-10 11:50:13.646  INFO restartedMain c.z.h.HikariDataSource:110 - HikariPool-1 - Starting...
2020-Oct-10 11:50:14.176  INFO restartedMain c.z.h.HikariDataSource:123 - HikariPool-1 - Start completed.
2020-Oct-10 11:50:14.216  INFO task-1 o.h.j.i.u.LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-Oct-10 11:50:14.258  WARN restartedMain o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration:220 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-Oct-10 11:50:14.265  INFO task-1 o.h.Version:44 - HHH000412: Hibernate ORM core version 5.4.21.Final
2020-Oct-10 11:50:14.429  INFO task-1 o.h.a.c.Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-Oct-10 11:50:14.538  INFO task-1 o.h.d.Dialect:170 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2020-Oct-10 11:50:15.348  INFO task-1 o.h.e.t.j.p.i.JtaPlatformInitiator:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-Oct-10 11:50:15.359  INFO task-1 o.s.o.j.LocalContainerEntityManagerFactoryBean:416 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-Oct-10 11:50:15.462  INFO restartedMain o.s.b.a.s.s.UserDetailsServiceAutoConfiguration:86 - 

Using generated security password: 30bcdfa2-6b67-41e5-9649-22233ef755ce

2020-Oct-10 11:50:15.543  INFO restartedMain o.s.s.w.DefaultSecurityFilterChain:43 - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1acd88e5, org.springframework.security.web.context.SecurityContextPersistenceFilter@350421ff, org.springframework.security.web.header.HeaderWriterFilter@7335e8fc, org.springframework.security.web.csrf.CsrfFilter@3054254c, org.springframework.security.web.authentication.logout.LogoutFilter@39e7d642, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@635309d4, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@1dc268ea, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@15d07b56, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@56d21a3e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@479ef018, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7c795f3b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@73b1d6c8, org.springframework.security.web.session.SessionManagementFilter@43bcc90d, org.springframework.security.web.access.ExceptionTranslationFilter@6aa6d9ed, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@37ce1611]
2020-Oct-10 11:50:15.673  INFO restartedMain o.s.b.d.a.OptionalLiveReloadServer:58 - LiveReload server is running on port 35729
2020-Oct-10 11:50:15.679  INFO restartedMain o.s.b.a.e.w.EndpointLinksResolver:58 - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-Oct-10 11:50:15.731  INFO restartedMain o.s.b.w.e.t.TomcatWebServer:220 - Tomcat started on port(s): 8080 (http) with context path ''
2020-Oct-10 11:50:15.733  INFO restartedMain o.s.d.r.c.DeferredRepositoryInitializationListener:49 - Triggering deferred initialization of Spring Data repositories…
2020-Oct-10 11:50:15.734  INFO restartedMain o.s.d.r.c.DeferredRepositoryInitializationListener:53 - Spring Data repositories initialized!
2020-Oct-10 11:50:15.748  INFO restartedMain c.f.FelkinAtdenApplication:61 - Started FelkinAtdenApplication in 4.497 seconds (JVM running for 5.383)
2020-Oct-10 11:50:16.552  INFO RMI TCP Connection(2)-192.168.1.6 o.a.c.c.C.[.[.[/]:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-Oct-10 11:50:16.552  INFO RMI TCP Connection(2)-192.168.1.6 o.s.w.s.DispatcherServlet:525 - Initializing Servlet 'dispatcherServlet'
2020-Oct-10 11:50:16.564  INFO RMI TCP Connection(2)-192.168.1.6 o.s.w.s.DispatcherServlet:547 - Completed initialization in 12 ms
2020-Oct-10 11:51:00.502  INFO restartedMain c.f.FelkinAtdenApplication:55 - Starting FelkinAtdenApplication on DESKTOP-9CBD24B with PID 12244 (C:\Users\Piuta\Documents\Prosonal_project\Back_End\felkin_atden\build\classes\java\main started by Piuta in C:\Users\Piuta\Documents\Prosonal_project\Back_End\felkin_atden)
2020-Oct-10 11:51:00.506  INFO restartedMain c.f.FelkinAtdenApplication:651 - No active profile set, falling back to default profiles: default
2020-Oct-10 11:51:00.560  INFO restartedMain o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor:225 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-Oct-10 11:51:00.561  INFO restartedMain o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor:225 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-Oct-10 11:51:01.458  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-Oct-10 11:51:01.459  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:127 - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
